==76802== NVPROF is profiling process 76802, command: b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==76802== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==76802== Profiling application: b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==76802== Profiling result:
==76802== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: findRangeK
          1                     fb_subp0_read_sectors      119573      119573      119573      119573
          1                     fb_subp1_read_sectors      118600      118600      118600      118600
          1                    fb_subp0_write_sectors       46160       46160       46160       46160
          1                    fb_subp1_write_sectors       46297       46297       46297       46297
          1              l2_subp0_write_sector_misses       45975       45975       45975       45975
          1              l2_subp1_write_sector_misses       45847       45847       45847       45847
          1               l2_subp0_read_sector_misses      119163      119163      119163      119163
          1               l2_subp1_read_sector_misses      118998      118998      118998      118998
          1          l2_subp0_read_tex_sector_queries      305707      305707      305707      305707
          1          l2_subp1_read_tex_sector_queries      307398      307398      307398      307398
          1         l2_subp0_write_tex_sector_queries       30016       30016       30016       30016
          1         l2_subp1_write_tex_sector_queries       29984       29984       29984       29984
          1             l2_subp0_read_tex_hit_sectors      207025      207025      207025      207025
          1             l2_subp1_read_tex_hit_sectors      208910      208910      208910      208910
          1            l2_subp0_write_tex_hit_sectors       29453       29453       29453       29453
          1            l2_subp1_write_tex_hit_sectors       29421       29421       29421       29421
          1        l2_subp0_total_read_sector_queries      305388      305388      305388      305388
          1        l2_subp1_total_read_sector_queries      307672      307672      307672      307672
          1       l2_subp0_total_write_sector_queries       41856       41856       41856       41856
          1       l2_subp1_total_write_sector_queries       41769       41769       41769       41769
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm     5875368     5875368     5875368     5875368
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       48000       48000       48000       48000
          1                              inst_issued0    12995783    12995783    12995783    12995783
          1                              inst_issued1     7489554     7489554     7489554     7489554
          1                             inst_executed     7467902     7467902     7467902     7467902
          1                      thread_inst_executed  1413136016  1413136016  1413136016  1413136016
          1   not_predicated_off_thread_inst_executed  1351209074  1351209074  1351209074  1351209074
          1                             active_cycles     5375118     5375118     5375118     5375118
          1                              active_warps  4915363620  4915363620  4915363620  4915363620
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched        6000        6000        6000        6000
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                               global_load     1019958     1019958     1019958     1019958
          1                              global_store      102000      102000      102000      102000
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                          active_cycles_pm     5152685     5152685     5152685     5152685
          1                           active_warps_pm   286966532   286966532   286966532   286966532
          1                         elapsed_cycles_pm     5824494     5824494     5824494     5824494
          1                inst_executed_fp16_pipe_s0           0           0           0           0
          1                inst_executed_fp16_pipe_s1           0           0           0           0
          1                inst_executed_fp16_pipe_s2           0           0           0           0
          1                inst_executed_fp16_pipe_s3           0           0           0           0
          1                inst_executed_fp64_pipe_s0           0           0           0           0
          1                inst_executed_fp64_pipe_s1           0           0           0           0
          1                inst_executed_fp64_pipe_s2           0           0           0           0
          1                inst_executed_fp64_pipe_s3           0           0           0           0
          1                 inst_executed_fma_pipe_s0      515948      515948      515948      515948
          1                 inst_executed_fma_pipe_s1      515924      515924      515924      515924
          1                 inst_executed_fma_pipe_s2      515756      515756      515756      515756
          1                 inst_executed_fma_pipe_s3      515660      515660      515660      515660
          1              tensor_pipe_active_cycles_s0           0           0           0           0
          1              tensor_pipe_active_cycles_s1           0           0           0           0
          1              tensor_pipe_active_cycles_s2           0           0           0           0
          1              tensor_pipe_active_cycles_s3           0           0           0           0
          1                      pcie_tx_active_pulse           0           0           0           0
          1                      pcie_rx_active_pulse           0           0           0           0
          1                         active_cycles_sys       67703       67703       67703       67703
          1                        elapsed_cycles_sys       67703       67703       67703       67703
    Kernel: findK
          1                     fb_subp0_read_sectors      130322      130322      130322      130322
          1                     fb_subp1_read_sectors      130787      130787      130787      130787
          1                    fb_subp0_write_sectors       55837       55837       55837       55837
          1                    fb_subp1_write_sectors       55861       55861       55861       55861
          1              l2_subp0_write_sector_misses       47792       47792       47792       47792
          1              l2_subp1_write_sector_misses       47879       47879       47879       47879
          1               l2_subp0_read_sector_misses      125264      125264      125264      125264
          1               l2_subp1_read_sector_misses      125739      125739      125739      125739
          1          l2_subp0_read_tex_sector_queries      285430      285430      285430      285430
          1          l2_subp1_read_tex_sector_queries      287590      287590      287590      287590
          1         l2_subp0_write_tex_sector_queries       24960       24960       24960       24960
          1         l2_subp1_write_tex_sector_queries       25040       25040       25040       25040
          1             l2_subp0_read_tex_hit_sectors      183332      183332      183332      183332
          1             l2_subp1_read_tex_hit_sectors      185494      185494      185494      185494
          1            l2_subp0_write_tex_hit_sectors       24804       24804       24804       24804
          1            l2_subp1_write_tex_hit_sectors       24883       24883       24883       24883
          1        l2_subp0_total_read_sector_queries      285186      285186      285186      285186
          1        l2_subp1_total_read_sector_queries      287787      287787      287787      287787
          1       l2_subp0_total_write_sector_queries       25006       25006       25006       25006
          1       l2_subp1_total_write_sector_queries       25101       25101       25101       25101
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm   117217636   117217636   117217636   117217636
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       80000       80000       80000       80000
          1                              inst_issued0    17476435    17476435    17476435    17476435
          1                              inst_issued1     7945613     7945613     7945613     7945613
          1                             inst_executed    60754032    60754032    60754032    60754032
          1                      thread_inst_executed  1894535565  1894535565  1894535565  1894535565
          1   not_predicated_off_thread_inst_executed  1821951778  1821951778  1821951778  1821951778
          1                             active_cycles   115504970   115504970   115504970   115504970
          1                              active_warps  6745503924  6745503924  6745503924  6745503924
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched       10000       10000       10000       10000
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                               global_load      839593      839593      839593      839593
          1                              global_store       50000       50000       50000       50000
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                          active_cycles_pm     6478262     6478262     6478262     6478262
          1                           active_warps_pm   331680798   331680798   331680798   331680798
          1                         elapsed_cycles_pm     7173266     7173266     7173266     7173266
          1                inst_executed_fp16_pipe_s0           0           0           0           0
          1                inst_executed_fp16_pipe_s1           0           0           0           0
          1                inst_executed_fp16_pipe_s2           0           0           0           0
          1                inst_executed_fp16_pipe_s3           0           0           0           0
          1                inst_executed_fp64_pipe_s0           0           0           0           0
          1                inst_executed_fp64_pipe_s1           0           0           0           0
          1                inst_executed_fp64_pipe_s2           0           0           0           0
          1                inst_executed_fp64_pipe_s3           0           0           0           0
          1                 inst_executed_fma_pipe_s0      589690      589690      589690      589690
          1                 inst_executed_fma_pipe_s1      589495      589495      589495      589495
