==47112== NVPROF is profiling process 47112, command: heartwall ../../data/heartwall/test.avi 40
==47112== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==47112== Profiling application: heartwall ../../data/heartwall/test.avi 40
==47112== Profiling result:
==47112== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: kernel(void)
         40                     fb_subp0_read_sectors          12     1457894     1398238    55929557
         40                     fb_subp1_read_sectors           6     1457715     1397155    55886203
         40                    fb_subp0_write_sectors        7006     1778854     1721047    68841880
         40                    fb_subp1_write_sectors        7196     1777826     1720062    68802506
         40              l2_subp0_write_sector_misses        7111     1780278     1720229    68809197
         40              l2_subp1_write_sector_misses        7258     1780941     1720351    68814045
         40               l2_subp0_read_sector_misses          11     1450071     1398202    55928097
         40               l2_subp1_read_sector_misses           6     1451754     1399169    55966777
         40          l2_subp0_read_tex_sector_queries        9506     2043079     1975058    79002334
         40          l2_subp1_read_tex_sector_queries        9313     2043302     1975503    79020150
         40         l2_subp0_write_tex_sector_queries       10427     3387342     3292848   131713921
         40         l2_subp1_write_tex_sector_queries       10325     3387087     3293417   131736708
         40             l2_subp0_read_tex_hit_sectors        9502      756520      726859    29074397
         40             l2_subp1_read_tex_hit_sectors        9313      755961      726460    29058407
         40            l2_subp0_write_tex_hit_sectors        8628     2488432     2413843    96553749
         40            l2_subp1_write_tex_hit_sectors        8640     2488055     2414405    96576239
         40        l2_subp0_total_read_sector_queries       10578     2044525     1979099    79163973
         40        l2_subp1_total_read_sector_queries       10425     2044776     1979586    79183460
         40       l2_subp0_total_write_sector_queries       12233     3416783     3312831   132513261
         40       l2_subp1_total_write_sector_queries       12123     3416749     3313397   132535891
         40       l2_subp0_read_sysmem_sector_queries           0           0           0           0
         40       l2_subp1_read_sysmem_sector_queries           0           0           0           0
         40      l2_subp0_write_sysmem_sector_queries           1           5           3         128
         40      l2_subp1_write_sysmem_sector_queries           0           4           1          72
