==124974== NVPROF is profiling process 124974, command: hotspot 64 2 2 ../../data/hotspot/temp_64 ../../data/hotspot/power_64 output.out
==124974== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==124974== Profiling application: hotspot 64 2 2 ../../data/hotspot/temp_64 ../../data/hotspot/power_64 output.out
==124974== Profiling result:
==124974== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors           0           0           0           0
          1                    fb_subp0_write_sectors           0           0           0           0
          1                    fb_subp1_write_sectors           0           0           0           0
          1              l2_subp0_write_sector_misses           8           8           8           8
          1              l2_subp1_write_sector_misses           0           0           0           0
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries        1260        1260        1260        1260
          1          l2_subp1_read_tex_sector_queries        1260        1260        1260        1260
          1         l2_subp0_write_tex_sector_queries         352         352         352         352
          1         l2_subp1_write_tex_sector_queries         352         352         352         352
          1             l2_subp0_read_tex_hit_sectors        1260        1260        1260        1260
          1             l2_subp1_read_tex_hit_sectors        1260        1260        1260        1260
          1            l2_subp0_write_tex_hit_sectors         352         352         352         352
          1            l2_subp1_write_tex_hit_sectors         352         352         352         352
          1        l2_subp0_total_read_sector_queries        1308        1308        1308        1308
          1        l2_subp1_total_read_sector_queries        1308        1308        1308        1308
          1       l2_subp0_total_write_sector_queries         363         363         363         363
          1       l2_subp1_total_write_sector_queries         357         357         357         357
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm      820468      820468      820468      820468
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched         288         288         288         288
          1                              inst_issued0      262459      262459      262459      262459
          1                              inst_issued1       72384       72384       72384       72384
          1                             inst_executed       70368       70368       70368       70368
          1                      thread_inst_executed     9819740     9819740     9819740     9819740
          1   not_predicated_off_thread_inst_executed     9403284     9403284     9403284     9403284
          1                             active_cycles       85108       85108       85108       85108
          1                              active_warps     3854030     3854030     3854030     3854030
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched          36          36          36          36
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load        3144        3144        3144        3144
          1                              shared_store        1236        1236        1236        1236
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                               global_load         504         504         504         504
          1                              global_store         192         192         192         192
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                                atom_count           0           0           0           0
