==93296== NVPROF is profiling process 93296, command: 3D 64 8 100 ../../data/hotspot3D/power_64x8 ../../data/hotspot3D/temp_64x8 output.txt
==93296== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==93296== Profiling application: 3D 64 8 100 ../../data/hotspot3D/power_64x8 ../../data/hotspot3D/temp_64x8 output.txt
==93296== Profiling result:
==93296== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)
        100                     fb_subp0_read_sectors           0           0           0           0
        100                     fb_subp1_read_sectors           0           0           0           0
        100                    fb_subp0_write_sectors           0         132          19        1984
        100                    fb_subp1_write_sectors           0         176          11        1111
        100              l2_subp0_write_sector_misses           0          83          13        1352
        100              l2_subp1_write_sector_misses           0          92          19        1974
        100               l2_subp0_read_sector_misses           0           0           0           0
        100               l2_subp1_read_sector_misses           0           0           0           0
        100          l2_subp0_read_tex_sector_queries        5056        5056        5056      505600
        100          l2_subp1_read_tex_sector_queries        5056        5056        5056      505600
        100         l2_subp0_write_tex_sector_queries        2048        2048        2048      204800
        100         l2_subp1_write_tex_sector_queries        2048        2048        2048      204800
        100             l2_subp0_read_tex_hit_sectors        5056        5056        5056      505600
        100             l2_subp1_read_tex_hit_sectors        5056        5056        5056      505600
        100            l2_subp0_write_tex_hit_sectors        2048        2048        2048      204800
        100            l2_subp1_write_tex_hit_sectors        2048        2048        2048      204800
        100        l2_subp0_total_read_sector_queries        5104        6208        5446      544624
        100        l2_subp1_total_read_sector_queries        5104        6160        5431      543136
        100       l2_subp0_total_write_sector_queries        2049        2173        2052      205284
        100       l2_subp1_total_write_sector_queries        2059        2183        2063      206324
        100       l2_subp0_read_sysmem_sector_queries           0           0           0           0
        100       l2_subp1_read_sysmem_sector_queries           0           0           0           0
        100      l2_subp0_write_sysmem_sector_queries           1           5           2         264
        100      l2_subp1_write_sysmem_sector_queries           0           4           2         236
        100                         elapsed_cycles_sm     3019970     3857138     3130079   313007998
        100                           prof_trigger_00           0           0           0           0
        100                           prof_trigger_01           0           0           0           0
        100                           prof_trigger_02           0           0           0           0
        100                           prof_trigger_03           0           0           0           0
        100                           prof_trigger_04           0           0           0           0
        100                           prof_trigger_05           0           0           0           0
        100                           prof_trigger_06           0           0           0           0
        100                           prof_trigger_07           0           0           0           0
        100                            warps_launched         128         128         128       12800
        100                              inst_issued0     1732742     1750320     1737409   173740904
        100                              inst_issued1      212484      212484      212484    21248400
        100                             inst_executed      212356      386728      308260    30826060
        100                      thread_inst_executed    11938304    11938304    11938304  1193830400
        100   not_predicated_off_thread_inst_executed    11689744    11689744    11689744  1168974400
        100                             active_cycles      488357      715727      529946    52994686
        100                              active_warps     5593534     5624480     5597196   559719622
        100                               shared_atom           0           0           0           0
        100                           sm_cta_launched          16          16          16        1600
        100                           shared_atom_cas           0           0           0           0
        100                               shared_load           0           0           0           0
        100                              shared_store           0           0           0           0
        100                              generic_load        6144        6144        6144      614400
        100                             generic_store        1024        1024        1024      102400
        100                               global_load           0           0           0           0
        100                              global_store           0           0           0           0
        100                                local_load         128         128         128       12800
        100                               local_store           0           0           0           0
        100                                atom_count           0           0           0           0
        100                                gred_count           0           0           0           0
        100                    shared_ld_transactions           0           0           0           0
        100                    shared_st_transactions           0           0           0           0
        100                   shared_ld_bank_conflict           0           0           0           0
        100                   shared_st_bank_conflict           0           0           0           0
        100                           global_atom_cas           0           0           0           0
        100                          active_cycles_pm      488453      493039      489858    48985871
        100                           active_warps_pm     3804834     3839598     3814032   381403292
        100                         elapsed_cycles_pm     3022540     3054624     3034325   303432584
        100                inst_executed_fp16_pipe_s0           0           0           0           0
        100                inst_executed_fp16_pipe_s1           0           0           0           0
        100                inst_executed_fp16_pipe_s2           0           0           0           0
        100                inst_executed_fp16_pipe_s3           0           0           0           0
        100                inst_executed_fp64_pipe_s0           0           0           0           0
        100                inst_executed_fp64_pipe_s1           0           0           0           0
        100                inst_executed_fp64_pipe_s2           0           0           0           0
        100                inst_executed_fp64_pipe_s3           0           0           0           0
        100                 inst_executed_fma_pipe_s0        4480        4480        4480      448000
        100                 inst_executed_fma_pipe_s1        4480        4480        4480      448000
        100                 inst_executed_fma_pipe_s2        4480        4480        4480      448000
        100                 inst_executed_fma_pipe_s3        4480        4480        4480      448000
        100              tensor_pipe_active_cycles_s0           0           0           0           0
        100              tensor_pipe_active_cycles_s1           0           0           0           0
        100              tensor_pipe_active_cycles_s2           0           0           0           0
        100              tensor_pipe_active_cycles_s3           0           0           0           0
        100                      pcie_tx_active_pulse           0           1           0           3
        100                      pcie_rx_active_pulse           0           1           0           3
        100                         active_cycles_sys       35194       35569       35331     3533101
        100                        elapsed_cycles_sys       35194       35569       35331     3533101

==93296== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)
        100                             inst_per_warp                                            Instructions per warp  3.0213e+03  3.0213e+03  3.0213e+03
        100                         branch_efficiency                                                Branch Efficiency      96.30%      96.30%      96.30%
        100                 warp_execution_efficiency                                        Warp Execution Efficiency      96.47%      96.47%      96.47%
        100         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      94.46%      94.46%      94.46%
        100                      inst_replay_overhead                                      Instruction Replay Overhead    0.000603    0.000603    0.000603
        100      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
        100     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
        100       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
        100      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
        100              gld_transactions_per_request                             Global Load Transactions Per Request    4.166667    4.166667    4.166667
        100              gst_transactions_per_request                            Global Store Transactions Per Request    4.000000    4.000000    4.000000
        100                 shared_store_transactions                                        Shared Store Transactions           0           0           0
        100                  shared_load_transactions                                         Shared Load Transactions           0           0           0
        100                   local_load_transactions                                          Local Load Transactions           0           0           0
        100                  local_store_transactions                                         Local Store Transactions           0           0           0
        100                          gld_transactions                                         Global Load Transactions       25600       25600       25600
        100                          gst_transactions                                        Global Store Transactions        4096        4096        4096
        100                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
        100                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
        100                      l2_read_transactions                                             L2 Read Transactions       10208       12368       10877
        100                     l2_write_transactions                                            L2 Write Transactions        4112        4356        4116
        100                    dram_read_transactions                                  Device Memory Read Transactions           0           0           0
        100                   dram_write_transactions                                 Device Memory Write Transactions           0         175          33
        100                           global_hit_rate                                Global Hit Rate in unified l1/tex      52.16%      52.16%      52.16%
        100                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
        100                  gld_requested_throughput                                 Requested Global Load Throughput  26.861GB/s  26.945GB/s  26.898GB/s
        100                  gst_requested_throughput                                Requested Global Store Throughput  4.5003GB/s  4.5143GB/s  4.5064GB/s
        100                            gld_throughput                                           Global Load Throughput  28.127GB/s  28.214GB/s  28.165GB/s
        100                            gst_throughput                                          Global Store Throughput  4.5003GB/s  4.5143GB/s  4.5064GB/s
        100                     local_memory_overhead                                            Local Memory Overhead       0.00%       0.00%       0.00%
