==85194== NVPROF is profiling process 85194, command: kmeans -o -i ../../data/kmeans/819200.txt
==85194== Some kernel(s) will be replayed on device 1 in order to collect all events/metrics.
==85194== Profiling application: kmeans -o -i ../../data/kmeans/819200.txt
==85194== Profiling result:
==85194== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (1)"
    Kernel: invert_mapping(float*, float*, int, int)
          1                     fb_subp0_read_sectors    25877095    25877095    25877095    25877095
          1                     fb_subp1_read_sectors    25863697    25863697    25863697    25863697
          1                    fb_subp0_write_sectors     1777737     1777737     1777737     1777737
          1                    fb_subp1_write_sectors     1777821     1777821     1777821     1777821
          1              l2_subp0_write_sector_misses     1771704     1771704     1771704     1771704
          1              l2_subp1_write_sector_misses     1771534     1771534     1771534     1771534
          1               l2_subp0_read_sector_misses    26023561    26023561    26023561    26023561
          1               l2_subp1_read_sector_misses    26021545    26021545    26021545    26021545
          1          l2_subp0_read_tex_sector_queries    13245826    13245826    13245826    13245826
          1          l2_subp1_read_tex_sector_queries    13242776    13242776    13242776    13242776
          1         l2_subp0_write_tex_sector_queries     1740800     1740800     1740800     1740800
          1         l2_subp1_write_tex_sector_queries     1740800     1740800     1740800     1740800
          1             l2_subp0_read_tex_hit_sectors      146541      146541      146541      146541
          1             l2_subp1_read_tex_hit_sectors      147017      147017      147017      147017
          1            l2_subp0_write_tex_hit_sectors           0           0           0           0
          1            l2_subp1_write_tex_hit_sectors           0           0           0           0
          1        l2_subp0_total_read_sector_queries    13179680    13179680    13179680    13179680
          1        l2_subp1_total_read_sector_queries    13175982    13175982    13175982    13175982
          1       l2_subp0_total_write_sector_queries     1752488     1752488     1752488     1752488
          1       l2_subp1_total_write_sector_queries     1752427     1752427     1752427     1752427
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm   241349128   241349128   241349128   241349128
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       25992       25992       25992       25992
          1                              inst_issued0   948772941   948772941   948772941   948772941
          1                              inst_issued1     6033282     6033282     6033282     6033282
          1                             inst_executed     6019528     6019528     6019528     6019528
          1                      thread_inst_executed   751152384   751152384   751152384   751152384
          1   not_predicated_off_thread_inst_executed   720651536   720651536   720651536   720651536
          1                             active_cycles   237563502   237563502   237563502   237563502
          1                              active_warps  1.6393e+10  1.6393e+10  1.6393e+10  1.6393e+10
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched        3249        3249        3249        3249
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                               global_load      896000      896000      896000      896000
          1                              global_store      896000      896000      896000      896000
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                          active_cycles_pm   237172269   237172269   237172269   237172269
          1                           active_warps_pm  1.4843e+10  1.4843e+10  1.4843e+10  1.4843e+10
          1                         elapsed_cycles_pm   241460726   241460726   241460726   241460726
          1                inst_executed_fp16_pipe_s0           0           0           0           0
          1                inst_executed_fp16_pipe_s1           0           0           0           0
          1                inst_executed_fp16_pipe_s2           0           0           0           0
          1                inst_executed_fp16_pipe_s3           0           0           0           0
          1                inst_executed_fp64_pipe_s0           0           0           0           0
          1                inst_executed_fp64_pipe_s1           0           0           0           0
          1                inst_executed_fp64_pipe_s2           0           0           0           0
          1                inst_executed_fp64_pipe_s3           0           0           0           0
          1                 inst_executed_fma_pipe_s0      333094      333094      333094      333094
          1                 inst_executed_fma_pipe_s1      333094      333094      333094      333094
          1                 inst_executed_fma_pipe_s2      333094      333094      333094      333094
          1                 inst_executed_fma_pipe_s3      333094      333094      333094      333094
          1              tensor_pipe_active_cycles_s0           0           0           0           0
          1              tensor_pipe_active_cycles_s1           0           0           0           0
          1              tensor_pipe_active_cycles_s2           0           0           0           0
          1              tensor_pipe_active_cycles_s3           0           0           0           0
          1                      pcie_tx_active_pulse           0           0           0           0
          1                      pcie_rx_active_pulse           0           0           0           0
          1                         active_cycles_sys     2810074     2810074     2810074     2810074
          1                        elapsed_cycles_sys     2810074     2810074     2810074     2810074
    Kernel: kmeansPoint(float*, int, int, int, int*, float*, float*, int*)
          2                     fb_subp0_read_sectors     6097157     6172729     6134943    12269886
          2                     fb_subp1_read_sectors     6115516     6156768     6136142    12272284
          2                    fb_subp0_write_sectors       92886       94130       93508      187016
          2                    fb_subp1_write_sectors       93189       94221       93705      187410
          2              l2_subp0_write_sector_misses       93333       94365       93849      187698
          2              l2_subp1_write_sector_misses       93418       94430       93924      187848
          2               l2_subp0_read_sector_misses     6111312     6166844     6139078    12278156
          2               l2_subp1_read_sector_misses     6110565     6163757     6137161    12274322
          2          l2_subp0_read_tex_sector_queries     6443396     6454880     6449138    12898276
          2          l2_subp1_read_tex_sector_queries     6445120     6455532     6450326    12900652
          2         l2_subp0_write_tex_sector_queries       51200       51200       51200      102400
          2         l2_subp1_write_tex_sector_queries       51200       51200       51200      102400
          2             l2_subp0_read_tex_hit_sectors     3360380     3365044     3362712     6725424
          2             l2_subp1_read_tex_hit_sectors     3358928     3365334     3362131     6724262
          2            l2_subp0_write_tex_hit_sectors           0           0           0           0
          2            l2_subp1_write_tex_hit_sectors           0           0           0           0
          2        l2_subp0_total_read_sector_queries     6426034     6445422     6435728    12871456
          2        l2_subp1_total_read_sector_queries     6425540     6446456     6435998    12871996
          2       l2_subp0_total_write_sector_queries       51223       51224       51223      102447
          2       l2_subp1_total_write_sector_queries       51209       51209       51209      102418
          2       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          2       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          2      l2_subp0_write_sysmem_sector_queries           1           5           3           6
          2      l2_subp1_write_sysmem_sector_queries           0           4           2           4
          2                         elapsed_cycles_sm    63183592    63945634    63564613   127129226
          2                           prof_trigger_00           0           0           0           0
          2                           prof_trigger_01           0           0           0           0
          2                           prof_trigger_02           0           0           0           0
          2                           prof_trigger_03           0           0           0           0
          2                           prof_trigger_04           0           0           0           0
          2                           prof_trigger_05           0           0           0           0
          2                           prof_trigger_06           0           0           0           0
          2                           prof_trigger_07           0           0           0           0
          2                            warps_launched       25992       25992       25992       51984
          2                              inst_issued0   213156835   213207430   213182132   426364265
          2                              inst_issued1    33513512    33517011    33515261    67030523
          2                             inst_executed    33491856   124771024    79131440   158262880
