Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.332793
1	SP GFLOPS	0.0
1	DP GFLOPS	8.981152
1	x87 GFLOPS	0.0
1	CPI Rate	0.572661
1	Average CPU Frequency	2680671439.946627
1	Total Thread Count	18
0	Effective Physical Core Utilization	35.4% (12.728 out of 36)
1	Effective Logical Core Utilization	17.8% (12.849 out of 72)
1	Serial Time (outside parallel regions)	0.267s (20.0%)
2	Top Serial Hotspots (outside parallel regions)	
2	Function	Module	Serial CPU Time
2	[Outside any known module]	[Unknown]	0.135313
2	[Loop@0x40cafe in chop_flip_image]	heartwall	0.035081
2	[Loop@0x40cbf4 in chop_flip_image]	heartwall	0.015035
2	func@0x7efe0	libittnotify_collector.so	0.005012
1	Parallel Region Time	1.066s (80.0%)
2	Estimated Ideal Time	0.909s (68.2%)
2	OpenMP Potential Gain	0.157s (11.8%)
0	Memory Bound	4.1
1	Cache Bound	1.5
1	DRAM Bound	0.0
1	NUMA: % of Remote Accesses	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	12.5
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	87.5
1	FP Arith/Mem Rd Instr. Ratio	0.666982
1	FP Arith/Mem Wr Instr. Ratio	11.415984
0	Collection and Platform Info	
1	Application Command Line	heartwall "../../data/heartwall/test.avi" "10" "18" 
1	Operating System	3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME="Red Hat Enterprise Linux Server" VERSION="7.9 (Maipo)" ID="rhel" ID_LIKE="fedora" VARIANT="Server" VARIANT_ID="server" VERSION_ID="7.9" PRETTY_NAME="Red Hat Enterprise Linux Server 7.9 (Maipo)" ANSI_COLOR="0;31" CPE_NAME="cpe:/o:redhat:enterprise_linux:7.9:GA:server" HOME_URL="https://www.redhat.com/" BUG_REPORT_URL="https://bugzilla.redhat.com/"  REDHAT_BUGZILLA_PRODUCT="Red Hat Enterprise Linux 7" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT="Red Hat Enterprise Linux" REDHAT_SUPPORT_PRODUCT_VERSION="7.9"
1	Computer Name	quartz3027
1	Result Size	11076453
1	Collection start time	21:01:07 21/04/2021 UTC
1	Collection stop time	21:01:09 21/04/2021 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2095148188
2	Logical CPU Count	72
