threadcount,inputinfo,Elapsed Time,Paused Time,Effective CPU Utilization,OpenMP Analysis. Collection Time,Serial Time (outside parallel regions),Parallel Region Time,Estimated Ideal Time,OpenMP Potential Gain,Total Thread Count,Thread Oversubscription,Wait Time with poor CPU Utilization,Spin and Overhead Time,Application Command Line,Operating System,Computer Name,Result Size,Collection start time,Collection stop time,Collector Type,Name,Frequency,Logical CPU Count,SP GFLOPS,DP GFLOPS,x87 GFLOPS,CPI Rate,Average CPU Frequency,Effective Physical Core Utilization,Effective Logical Core Utilization,Memory Bound,Cache Bound,DRAM Bound,NUMA: % of Remote Accesses,Vectorization,SP FLOPs,Packed,128-bit,256-bit,Scalar,DP FLOPs,x87 FLOPs,Non-FP,FP Arith/Mem Rd Instr. Ratio,FP Arith/Mem Wr Instr. Ratio,Metric Name
36,64,0.282664,0.0,0.0% (0.028 out of 72 logical CPUs),0.363794,0.279s (98.8%),0.004s (1.2%),0.001s (0.2%),0.003s (1.0%),36,0s (0.0% of CPU Time),1.501s (100.0% of Wait Time),2.470s (99.6% of CPU Time),"hotspot ""64"" ""64"" ""2"" ""36"" ""../../data/hotspot/temp_64"" ""../../data/hotspot/power_64"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,3789444,21:09:18 21/04/2021 UTC,21:09:18 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146398,72,0.0,0.0,0.0,1.276596,3541092503.661972,2.7% (0.972 out of 36),1.2% (0.833 out of 72),51.9,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,64,0.194992,0.0,0.0% (0.031 out of 72 logical CPUs),0.331270,0.187s (96.1%),0.008s (3.9%),0.001s (0.5%),0.007s (3.4%),18,0s (0.0% of CPU Time),0.397s (100.0% of Wait Time),1.070s (99.1% of CPU Time),"hotspot ""64"" ""64"" ""2"" ""18"" ""../../data/hotspot/temp_64"" ""../../data/hotspot/power_64"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,3889796,21:09:51 21/04/2021 UTC,21:09:52 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095145699,72,0.0,0.0,0.0,0.965116,3050826193.280702,2.4% (0.867 out of 36),1.0% (0.694 out of 72),59.9,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,64,0.127498,0.0,0.2% (0.178 out of 72 logical CPUs),0.171141,0.125s (97.7%),0.003s (2.3%),0.001s (0.7%),0.002s (1.6%),9,0s (0.0% of CPU Time),0.030s (100.0% of Wait Time),0.240s (88.9% of CPU Time),"hotspot ""64"" ""64"" ""2"" ""9"" ""../../data/hotspot/temp_64"" ""../../data/hotspot/power_64"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,3767421,21:10:20 21/04/2021 UTC,21:10:20 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148330,72,0.0,0.0,0.0,1.062500,3237956510.000000,1.9% (0.688 out of 36),0.8% (0.550 out of 72),31.7,25.2,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,64,0.124988,0.0,0.2% (0.128 out of 72 logical CPUs),0.159513,0.121s (97.2%),0.004s (2.8%),0.001s (0.9%),0.002s (1.9%),4,0s (0.0% of CPU Time),0.006s (100.0% of Wait Time),0.100s (83.3% of CPU Time),"hotspot ""64"" ""64"" ""2"" ""4"" ""../../data/hotspot/temp_64"" ""../../data/hotspot/power_64"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,3606026,21:10:50 21/04/2021 UTC,21:10:50 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148575,72,0.0,0.0,0.0,1.000000,3062140225.000000,1.1% (0.401 out of 36),0.6% (0.401 out of 72),88.7,45.1,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,512,0.828763,0.0,1.0% (0.713 out of 72 logical CPUs),1.835385,0.806s (97.2%),0.023s (2.8%),0.004s (0.5%),0.019s (2.3%),36,0s (0.0% of CPU Time),7.189s (100.0% of Wait Time),7.430s (85.5% of CPU Time),"hotspot ""512"" ""512"" ""2"" ""36"" ""../../data/hotspot/temp_512"" ""../../data/hotspot/power_512"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,6271293,21:11:24 21/04/2021 UTC,21:11:25 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147498,72,0.0,0.0,0.0,0.861921,2640279919.109718,6.5% (2.337 out of 36),3.2% (2.316 out of 72),5.1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,512,0.600568,0.0,1.1% (0.827 out of 72 logical CPUs),1.689525,0.597s (99.4%),0.004s (0.6%),0.001s (0.2%),0.003s (0.5%),18,0s (0.0% of CPU Time),1.744s (100.0% of Wait Time),3.480s (71.7% of CPU Time),"hotspot ""512"" ""512"" ""2"" ""18"" ""../../data/hotspot/temp_512"" ""../../data/hotspot/power_512"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,5141210,21:11:59 21/04/2021 UTC,21:11:59 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147713,72,0.0,0.0,0.0,0.793273,2634600570.183355,4.8% (1.726 out of 36),2.4% (1.711 out of 72),6.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,512,0.539051,0.0,1.2% (0.875 out of 72 logical CPUs),1.421330,0.535s (99.2%),0.004s (0.8%),0.002s (0.3%),0.003s (0.5%),9,0s (0.0% of CPU Time),0.187s (100.0% of Wait Time),1.640s (57.1% of CPU Time),"hotspot ""512"" ""512"" ""2"" ""9"" ""../../data/hotspot/temp_512"" ""../../data/hotspot/power_512"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,4610264,21:12:31 21/04/2021 UTC,21:12:32 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147730,72,0.0,0.0,0.0,0.792952,2871522269.543148,3.8% (1.385 out of 36),1.9% (1.385 out of 72),2.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,512,0.469539,0.0,1.2% (0.887 out of 72 logical CPUs),1.372660,0.466s (99.1%),0.004s (0.9%),0.002s (0.4%),0.002s (0.4%),4,0s (0.0% of CPU Time),0.007s (100.0% of Wait Time),0.640s (34.6% of CPU Time),"hotspot ""512"" ""512"" ""2"" ""4"" ""../../data/hotspot/temp_512"" ""../../data/hotspot/power_512"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,4270750,21:13:05 21/04/2021 UTC,21:13:05 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147833,72,0.0,0.0,0.0,0.688482,3095639775.724719,2.8% (1.003 out of 36),1.4% (1.003 out of 72),6.1,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,1024,1.953374,0.0,1.2% (0.894 out of 72 logical CPUs),6.174757,1.949s (99.8%),0.004s (0.2%),0.002s (0.1%),0.003s (0.1%),36,0s (0.0% of CPU Time),30.055s (100.0% of Wait Time),7.310s (57.2% of CPU Time),"hotspot ""1024"" ""1024"" ""2"" ""36"" ""../../data/hotspot/temp_1024"" ""../../data/hotspot/power_1024"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,6573115,21:13:44 21/04/2021 UTC,21:13:46 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147318,72,0.0,0.0,0.0,0.871753,2613459023.846690,3.2% (1.170 out of 36),2.1% (1.516 out of 72),2.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,1024,1.637696,0.0,1.3% (0.942 out of 72 logical CPUs),5.247853,1.633s (99.7%),0.004s (0.3%),0.002s (0.1%),0.002s (0.1%),18,0s (0.0% of CPU Time),10.710s (100.0% of Wait Time),3.500s (41.6% of CPU Time),"hotspot ""1024"" ""1024"" ""2"" ""18"" ""../../data/hotspot/temp_1024"" ""../../data/hotspot/power_1024"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz50,5654826,21:14:22 21/04/2021 UTC,21:14:23 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147433,72,0.0,0.0,0.0,0.706750,2756656495.795142,3.4% (1.214 out of 36),1.7% (1.206 out of 72),4.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
