threadcount,inputinfo,Elapsed Time,Paused Time,Effective CPU Utilization,OpenMP Analysis. Collection Time,Serial Time (outside parallel regions),Parallel Region Time,Estimated Ideal Time,OpenMP Potential Gain,Total Thread Count,Thread Oversubscription,Wait Time with poor CPU Utilization,Spin and Overhead Time,Application Command Line,Operating System,Computer Name,Result Size,Collection start time,Collection stop time,Collector Type,Name,Frequency,Logical CPU Count,SP GFLOPS,DP GFLOPS,x87 GFLOPS,CPI Rate,Average CPU Frequency,Effective Physical Core Utilization,Effective Logical Core Utilization,Memory Bound,Cache Bound,DRAM Bound,NUMA: % of Remote Accesses,Vectorization,SP FLOPs,Packed,128-bit,256-bit,Scalar,DP FLOPs,x87 FLOPs,Non-FP,FP Arith/Mem Rd Instr. Ratio,FP Arith/Mem Wr Instr. Ratio,Metric Name
36,5122,1.574500,0.0,1.2% (0.880 out of 72 logical CPUs),3.499076,1.354s (86.0%),0.220s (14.0%),0.013s (0.8%),0.207s (13.2%),36,0s (0.0% of CPU Time),19.792s (100.0% of Wait Time),17.840s (85.6% of CPU Time),"3D ""512"" ""2"" ""100"" ""../../data/hotspot3D/power_512x2"" ""../../data/hotspot3D/temp_512x2"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,8160590,21:37:48 21/04/2021 UTC,21:37:49 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146462,72,0.628772,0.0,0.0,0.970199,2660137624.586000,4.4% (1.597 out of 36),3.6% (2.607 out of 72),6.2,6.3,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,97.2,0.095691,0.354829,Metric Value
18,5122,1.314797,0.0,1.3% (0.944 out of 72 logical CPUs),3.282502,1.176s (89.5%),0.138s (10.5%),0.016s (1.2%),0.122s (9.3%),18,0s (0.0% of CPU Time),7.740s (100.0% of Wait Time),6.720s (68.7% of CPU Time),"3D ""512"" ""2"" ""100"" ""../../data/hotspot3D/power_512x2"" ""../../data/hotspot3D/temp_512x2"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,6256025,21:38:25 21/04/2021 UTC,21:38:26 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146249,72,0.821421,0.0,0.0,0.689259,2702863002.233679,4.8% (1.736 out of 36),2.4% (1.719 out of 72),4.0,1.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.172038,0.653932,Metric Value
9,5122,1.202946,0.0,1.3% (0.962 out of 72 logical CPUs),2.919660,1.082s (90.0%),0.120s (10.0%),0.027s (2.3%),0.093s (7.7%),9,0s (0.0% of CPU Time),3.332s (100.0% of Wait Time),2.550s (47.8% of CPU Time),"3D ""512"" ""2"" ""100"" ""../../data/hotspot3D/power_512x2"" ""../../data/hotspot3D/temp_512x2"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,5371729,21:39:00 21/04/2021 UTC,21:39:01 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095145851,72,0.822980,0.0,0.0,0.608911,2924288677.140426,3.9% (1.388 out of 36),1.8% (1.312 out of 72),4.4,2.6,0.9,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,92.7,0.250562,0.897934,Metric Value
4,5122,1.154261,0.0,1.4% (0.973 out of 72 logical CPUs),2.834639,1.021s (88.5%),0.133s (11.5%),0.065s (5.6%),0.068s (5.9%),4,0s (0.0% of CPU Time),1.100s (100.0% of Wait Time),0.860s (23.8% of CPU Time),"3D ""512"" ""2"" ""100"" ""../../data/hotspot3D/power_512x2"" ""../../data/hotspot3D/temp_512x2"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,4937670,21:39:35 21/04/2021 UTC,21:39:37 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146063,72,0.779721,0.0,0.0,0.522546,3134762843.627848,3.1% (1.102 out of 36),1.5% (1.085 out of 72),2.1,1.5,1.5,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,90.2,0.373124,1.092865,Metric Value
36,5124,2.628021,0.0,1.4% (0.990 out of 72 logical CPUs),6.277471,2.297s (87.4%),0.331s (12.6%),0.028s (1.1%),0.304s (11.5%),36,0s (0.0% of CPU Time),41.011s (100.0% of Wait Time),11.880s (65.9% of CPU Time),"3D ""512"" ""4"" ""100"" ""../../data/hotspot3D/power_512x4"" ""../../data/hotspot3D/temp_512x4"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,9902492,21:40:16 21/04/2021 UTC,21:40:18 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146377,72,0.787666,0.0,0.0,0.836587,2640422979.812901,5.0% (1.799 out of 36),3.2% (2.292 out of 72),3.8,3.4,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,96.1,0.128884,0.502718,Metric Value
18,5124,2.104198,0.0,1.4% (1.020 out of 72 logical CPUs),5.770592,1.967s (93.5%),0.137s (6.5%),0.031s (1.5%),0.106s (5.0%),18,0s (0.0% of CPU Time),18.441s (100.0% of Wait Time),6.610s (53.1% of CPU Time),"3D ""512"" ""4"" ""100"" ""../../data/hotspot3D/power_512x4"" ""../../data/hotspot3D/temp_512x4"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,6712248,21:40:58 21/04/2021 UTC,21:41:00 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095145947,72,1.026521,0.0,0.0,0.606745,2753740752.055630,4.2% (1.499 out of 36),2.1% (1.505 out of 72),5.1,2.2,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,92.1,0.289847,1.008375,Metric Value
9,5124,2.121706,0.0,1.4% (1.004 out of 72 logical CPUs),5.556760,1.983s (93.5%),0.139s (6.5%),0.061s (2.9%),0.077s (3.6%),9,0s (0.0% of CPU Time),8.001s (100.0% of Wait Time),2.370s (29.9% of CPU Time),"3D ""512"" ""4"" ""100"" ""../../data/hotspot3D/power_512x4"" ""../../data/hotspot3D/temp_512x4"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,5872595,21:41:38 21/04/2021 UTC,21:41:40 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095145938,72,0.975631,0.0,0.0,0.519247,2819852736.953436,3.4% (1.242 out of 36),1.7% (1.233 out of 72),3.1,4.2,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,89.1,0.419313,1.373095,Metric Value
4,5124,2.177901,0.0,1.4% (1.011 out of 72 logical CPUs),5.458425,2.048s (94.0%),0.130s (6.0%),0.121s (5.6%),0.009s (0.4%),4,0s (0.0% of CPU Time),2.737s (100.0% of Wait Time),0.720s (11.6% of CPU Time),"3D ""512"" ""4"" ""100"" ""../../data/hotspot3D/power_512x4"" ""../../data/hotspot3D/temp_512x4"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,5425064,21:42:17 21/04/2021 UTC,21:42:19 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095145946,72,0.991782,0.0,0.0,0.435996,2879019515.451724,3.1% (1.114 out of 36),1.5% (1.114 out of 72),3.0,2.2,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,85.4,0.634064,1.720381,Metric Value
36,5128,4.496208,0.0,1.4% (1.011 out of 72 logical CPUs),12.472399,4.112s (91.5%),0.384s (8.5%),0.071s (1.6%),0.313s (7.0%),36,0s (0.0% of CPU Time),88.455s (100.0% of Wait Time),16.460s (56.8% of CPU Time),"3D ""512"" ""8"" ""100"" ""../../data/hotspot3D/power_512x8"" ""../../data/hotspot3D/temp_512x8"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,10894607,21:43:05 21/04/2021 UTC,21:43:09 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146280,72,0.920777,0.0,0.0,0.838593,2678469254.508301,3.6% (1.303 out of 36),2.9% (2.109 out of 72),6.4,6.3,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,93.2,0.241273,0.828059,Metric Value
18,5128,3.840832,0.0,1.4% (1.042 out of 72 logical CPUs),11.140785,3.703s (96.4%),0.138s (3.6%),0.061s (1.6%),0.077s (2.0%),18,0s (0.0% of CPU Time),41.722s (100.0% of Wait Time),5.580s (32.5% of CPU Time),"3D ""512"" ""8"" ""100"" ""../../data/hotspot3D/power_512x8"" ""../../data/hotspot3D/temp_512x8"" ""output.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz178,7615924,21:43:53 21/04/2021 UTC,21:43:57 21/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146361,72,1.101326,0.0,0.0,0.521859,2819904160.754789,3.8% (1.379 out of 36),1.9% (1.379 out of 72),2.3,2.4,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.426098,1.275405,Metric Value
