threadcount,inputinfo,Elapsed Time,Paused Time,Effective CPU Utilization,OpenMP Analysis. Collection Time,Serial Time (outside parallel regions),Parallel Region Time,Estimated Ideal Time,OpenMP Potential Gain,Total Thread Count,Thread Oversubscription,Wait Time with poor CPU Utilization,Spin and Overhead Time,Application Command Line,Operating System,Computer Name,Result Size,Collection start time,Collection stop time,Collector Type,Name,Frequency,Logical CPU Count,SP GFLOPS,DP GFLOPS,x87 GFLOPS,CPI Rate,Average CPU Frequency,Effective Physical Core Utilization,Effective Logical Core Utilization,Memory Bound,Cache Bound,DRAM Bound,NUMA: % of Remote Accesses,Vectorization,SP FLOPs,Packed,128-bit,256-bit,Scalar,DP FLOPs,x87 FLOPs,Non-FP,FP Arith/Mem Rd Instr. Ratio,FP Arith/Mem Wr Instr. Ratio,Metric Name
36,100,0.252655,0.0,0.0% (0.000 out of 72 logical CPUs),0.337436,0.239s (94.6%),0.014s (5.4%),0.002s (0.7%),0.012s (4.7%),36,0s (0.0% of CPU Time),1.485s (100.0% of Wait Time),2.620s (100.0% of CPU Time),"kmeans_omp ""-n"" ""36"" ""-i"" ""../../data/kmeans/100.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,3811507,02:53:59 22/04/2021 UTC,02:54:00 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147170,72,0.0,0.0,0.0,1.383838,3154232552.637362,3.9% (1.398 out of 36),1.3% (0.932 out of 72),52.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,100,0.169537,0.0,0.0% (0.000 out of 72 logical CPUs),0.224588,0.165s (97.6%),0.004s (2.4%),0.001s (0.5%),0.003s (1.9%),18,0s (0.0% of CPU Time),0.280s (100.0% of Wait Time),0.790s (100.0% of CPU Time),"kmeans_omp ""-n"" ""18"" ""-i"" ""../../data/kmeans/100.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,3535410,02:54:31 22/04/2021 UTC,02:54:32 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146316,72,0.0,0.0,0.0,1.142857,4190292632.000000,2.0% (0.702 out of 36),0.8% (0.562 out of 72),54.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,100,0.146659,0.0,0.0% (0.000 out of 72 logical CPUs),0.145710,0.143s (97.3%),0.004s (2.7%),0.001s (0.9%),0.003s (1.7%),9,0s (0.0% of CPU Time),0.015s (100.0% of Wait Time),0.240s (100.0% of CPU Time),"kmeans_omp ""-n"" ""9"" ""-i"" ""../../data/kmeans/100.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,3668342,02:55:03 22/04/2021 UTC,02:55:03 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095145112,72,0.0,0.0,0.0,1.615385,2933203156.800000,1.4% (0.513 out of 36),0.7% (0.513 out of 72),31.8,81.6,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,100,0.100542,0.0,0.0% (0.000 out of 72 logical CPUs),0.124509,0.097s (96.8%),0.003s (3.2%),0.001s (1.1%),0.002s (2.1%),4,0s (0.0% of CPU Time),0.002s (100.0% of Wait Time),0.070s (100.0% of CPU Time),"kmeans_omp ""-n"" ""4"" ""-i"" ""../../data/kmeans/100.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,3548019,02:55:34 22/04/2021 UTC,02:55:34 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148551,72,0.0,0.0,0.0,1.000000,2880829257.625000,1.5% (0.523 out of 36),0.5% (0.349 out of 72),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,204800,0.841259,0.0,8.7% (6.259 out of 72 logical CPUs),1.836498,0.771s (91.7%),0.070s (8.3%),0.043s (5.1%),0.027s (3.2%),36,0s (0.0% of CPU Time),1.786s (100.0% of Wait Time),3.290s (22.3% of CPU Time),"kmeans_omp ""-n"" ""36"" ""-i"" ""../../data/kmeans/204800.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,4573474,02:56:07 22/04/2021 UTC,02:56:08 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147561,72,0.0,0.0,0.0,0.940555,2678177851.763016,4.6% (1.653 out of 36),3.1% (2.204 out of 72),31.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,204800,0.675317,0.0,5.8% (4.148 out of 72 logical CPUs),1.618942,0.613s (90.8%),0.062s (9.2%),0.052s (7.7%),0.010s (1.5%),18,0s (0.0% of CPU Time),0.320s (100.0% of Wait Time),1.020s (13.2% of CPU Time),"kmeans_omp ""-n"" ""18"" ""-i"" ""../../data/kmeans/204800.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,4244646,02:56:42 22/04/2021 UTC,02:56:43 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146708,72,0.0,0.0,0.0,0.775618,2762070284.720720,9.7% (3.479 out of 36),3.1% (2.226 out of 72),33.4,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,204800,0.743690,0.0,3.6% (2.599 out of 72 logical CPUs),1.588530,0.611s (82.2%),0.133s (17.8%),0.119s (16.0%),0.013s (1.8%),9,0s (0.0% of CPU Time),0.024s (100.0% of Wait Time),0.320s (7.2% of CPU Time),"kmeans_omp ""-n"" ""9"" ""-i"" ""../../data/kmeans/204800.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,4463951,02:57:15 22/04/2021 UTC,02:57:16 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146884,72,0.0,0.0,0.0,0.802559,2705204359.047059,6.1% (2.190 out of 36),2.9% (2.109 out of 72),56.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,204800,0.833231,0.0,2.1% (1.537 out of 72 logical CPUs),1.532120,0.581s (69.7%),0.253s (30.3%),0.240s (28.8%),0.013s (1.5%),4,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.180s (7.1% of CPU Time),"kmeans_omp ""-n"" ""4"" ""-i"" ""../../data/kmeans/204800.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,4348646,02:57:49 22/04/2021 UTC,02:57:50 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147621,72,0.432053,0.0,0.0,0.809981,2957031090.508361,4.8% (1.738 out of 36),2.4% (1.738 out of 72),50.5,4.1,26.4,0.0,100.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,97.6,0.098036,0.277770,Metric Value
36,819200,2.111541,0.0,14.1% (10.169 out of 72 logical CPUs),6.478960,1.766s (83.6%),0.346s (16.4%),0.285s (13.5%),0.061s (2.9%),36,0s (0.0% of CPU Time),1.869s (100.0% of Wait Time),4.259s (6.1% of CPU Time),"kmeans_omp ""-n"" ""36"" ""-i"" ""../../data/kmeans/819200.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,7637363,02:58:29 22/04/2021 UTC,02:58:31 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146845,72,0.0,0.0,0.0,1.304286,2709446274.058074,10.3% (3.711 out of 36),7.9% (5.677 out of 72),55.6,3.8,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,819200,2.086762,0.0,8.0% (5.725 out of 72 logical CPUs),6.442538,1.794s (85.9%),0.293s (14.1%),0.230s (11.0%),0.063s (3.0%),18,0s (0.0% of CPU Time),0.281s (100.0% of Wait Time),1.450s (3.8% of CPU Time),"kmeans_omp ""-n"" ""18"" ""-i"" ""../../data/kmeans/819200.txt""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2140,6309877,02:59:09 22/04/2021 UTC,02:59:12 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095146745,72,2.587746,0.0,0.0,0.703255,2729861607.440392,8.5% (3.066 out of 36),4.0% (2.892 out of 72),42.2,31.4,0.0,0.0,100.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.317116,0.903589,Metric Value
