Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.070251
1	SP GFLOPS	0.0
1	DP GFLOPS	6.222850
1	x87 GFLOPS	0.0
1	CPI Rate	0.432904
1	Average CPU Frequency	3255318872.329251
1	Total Thread Count	4
0	Effective Physical Core Utilization	9.1% (3.258 out of 36)
1	Effective Logical Core Utilization	4.5% (3.231 out of 72)
1	Serial Time (outside parallel regions)	0.140s (13.0%)
2	Top Serial Hotspots (outside parallel regions)	
2	Function	Module	Serial CPU Time
2	[Outside any known module]	[Unknown]	0.025058
2	func@0x7efe0	libittnotify_collector.so	0.010023
2	[Loop@0x401849 in main]	lavaMD	0.005012
2	random	libc-2.17.so	0.005012
1	Parallel Region Time	0.931s (87.0%)
2	Estimated Ideal Time	0.853s (79.7%)
2	OpenMP Potential Gain	0.077s (7.2%)
0	Memory Bound	6.8
1	Cache Bound	3.8
1	DRAM Bound	0.0
1	NUMA: % of Remote Accesses	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	31.2
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	68.8
1	FP Arith/Mem Rd Instr. Ratio	1.018553
1	FP Arith/Mem Wr Instr. Ratio	2.434141
0	Collection and Platform Info	
1	Application Command Line	lavaMD "-cores" "4" "-boxes1d" "10" 
1	Operating System	3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME="Red Hat Enterprise Linux Server" VERSION="7.9 (Maipo)" ID="rhel" ID_LIKE="fedora" VARIANT="Server" VARIANT_ID="server" VERSION_ID="7.9" PRETTY_NAME="Red Hat Enterprise Linux Server 7.9 (Maipo)" ANSI_COLOR="0;31" CPE_NAME="cpe:/o:redhat:enterprise_linux:7.9:GA:server" HOME_URL="https://www.redhat.com/" BUG_REPORT_URL="https://bugzilla.redhat.com/"  REDHAT_BUGZILLA_PRODUCT="Red Hat Enterprise Linux 7" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT="Red Hat Enterprise Linux" REDHAT_SUPPORT_PRODUCT_VERSION="7.9"
1	Computer Name	quartz3070
1	Result Size	5359646
1	Collection start time	23:42:15 21/04/2021 UTC
1	Collection stop time	23:42:16 21/04/2021 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2095148311
2	Logical CPU Count	72
