Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.542434
1	SP GFLOPS	0.0
1	DP GFLOPS	13.770468
1	x87 GFLOPS	0.0
1	CPI Rate	0.458266
1	Average CPU Frequency	2654316558.161550
1	Total Thread Count	18
0	Effective Physical Core Utilization	29.9% (10.755 out of 36)
1	Effective Logical Core Utilization	15.0% (10.787 out of 72)
1	Serial Time (outside parallel regions)	0.215s (13.9%)
2	Top Serial Hotspots (outside parallel regions)	
2	Function	Module	Serial CPU Time
2	[Outside any known module]	[Unknown]	0.130301
2	_dl_lookup_symbol_x	ld-2.17.so	0.005012
2	[Loop at line 483 in linear_interp2]	leukocyte	0.005012
2	[Loop at line 43 in gradient_y]	leukocyte	0.005012
1	Parallel Region Time	1.328s (86.1%)
2	Estimated Ideal Time	1.040s (67.4%)
2	OpenMP Potential Gain	0.288s (18.7%)
0	Memory Bound	9.4
1	Cache Bound	4.5
1	DRAM Bound	0.0
1	NUMA: % of Remote Accesses	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	23.5
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	x87 FLOPs	0.0
2	Non-FP	76.5
1	FP Arith/Mem Rd Instr. Ratio	0.803792
1	FP Arith/Mem Wr Instr. Ratio	3.972951
0	Collection and Platform Info	
1	Application Command Line	leukocyte "9" "18" "../../data/leukocyte/testfile.avi" 
1	Operating System	3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME="Red Hat Enterprise Linux Server" VERSION="7.9 (Maipo)" ID="rhel" ID_LIKE="fedora" VARIANT="Server" VARIANT_ID="server" VERSION_ID="7.9" PRETTY_NAME="Red Hat Enterprise Linux Server 7.9 (Maipo)" ANSI_COLOR="0;31" CPE_NAME="cpe:/o:redhat:enterprise_linux:7.9:GA:server" HOME_URL="https://www.redhat.com/" BUG_REPORT_URL="https://bugzilla.redhat.com/"  REDHAT_BUGZILLA_PRODUCT="Red Hat Enterprise Linux 7" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT="Red Hat Enterprise Linux" REDHAT_SUPPORT_PRODUCT_VERSION="7.9"
1	Computer Name	quartz2943
1	Result Size	12704780
1	Collection start time	00:46:23 22/04/2021 UTC
1	Collection stop time	00:46:25 22/04/2021 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2095148454
2	Logical CPU Count	72
