threadcount,inputinfo,Elapsed Time,Paused Time,Effective CPU Utilization,OpenMP Analysis. Collection Time,Serial Time (outside parallel regions),Parallel Region Time,Estimated Ideal Time,OpenMP Potential Gain,Total Thread Count,Thread Oversubscription,Wait Time with poor CPU Utilization,Spin and Overhead Time,Application Command Line,Operating System,Computer Name,Result Size,Collection start time,Collection stop time,Collector Type,Name,Frequency,Logical CPU Count,SP GFLOPS,DP GFLOPS,x87 GFLOPS,CPI Rate,Average CPU Frequency,Effective Physical Core Utilization,Effective Logical Core Utilization,Memory Bound,Cache Bound,DRAM Bound,NUMA: % of Remote Accesses,Vectorization,SP FLOPs,Packed,128-bit,256-bit,Scalar,DP FLOPs,x87 FLOPs,Non-FP,FP Arith/Mem Rd Instr. Ratio,FP Arith/Mem Wr Instr. Ratio,Metric Name
36,testfile1,0.712654,0.0,6.9% (4.961 out of 72 logical CPUs),0.623504,0.328s (46.0%),0.385s (54.0%),0.340s (47.8%),0.044s (6.2%),36,0s (0.0% of CPU Time),1.898s (100.0% of Wait Time),5.048s (64.0% of CPU Time),"leukocyte ""1"" ""36"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,5905549,00:26:46 22/04/2021 UTC,00:26:47 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147635,72,0.0,2.020618,0.0,0.777722,2671746116.367768,10.6% (3.803 out of 36),8.5% (6.132 out of 72),2.9,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.3,0.0,88.7,0.327524,1.882299,Metric Value
18,testfile1,0.434508,0.0,8.8% (6.349 out of 72 logical CPUs),0.393875,0.180s (41.4%),0.255s (58.6%),0.221s (51.0%),0.033s (7.7%),18,0s (0.0% of CPU Time),0.255s (100.0% of Wait Time),1.559s (38.6% of CPU Time),"leukocyte ""1"" ""18"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,5308433,00:27:20 22/04/2021 UTC,00:27:21 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147839,72,0.0,3.728359,0.0,0.463726,2657179560.890476,16.3% (5.864 out of 36),7.9% (5.721 out of 72),7.4,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.4,0.0,87.6,0.406768,2.222159,Metric Value
9,testfile1,0.467722,0.0,6.5% (4.678 out of 72 logical CPUs),0.420262,0.158s (33.8%),0.310s (66.2%),0.266s (56.9%),0.044s (9.3%),9,0s (0.0% of CPU Time),0.020s (100.0% of Wait Time),0.630s (24.4% of CPU Time),"leukocyte ""1"" ""9"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,5257841,00:27:53 22/04/2021 UTC,00:27:53 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147449,72,0.0,5.002980,0.0,0.425153,2678850889.588561,13.6% (4.907 out of 36),6.8% (4.907 out of 72),1.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.0,0.0,81.0,0.611028,3.443610,Metric Value
4,testfile1,0.617246,0.0,3.9% (2.796 out of 72 logical CPUs),0.611234,0.119s (19.3%),0.498s (80.7%),0.460s (74.5%),0.038s (6.1%),4,0s (0.0% of CPU Time),0.001s (100.0% of Wait Time),0.290s (14.6% of CPU Time),"leukocyte ""1"" ""4"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,4808078,00:28:28 22/04/2021 UTC,00:28:29 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147565,72,0.0,4.520086,0.0,0.385714,3119091863.684211,8.6% (3.102 out of 36),4.2% (3.053 out of 72),2.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,24.6,0.0,75.4,0.783796,4.492626,Metric Value
36,testfile2,0.837923,0.0,9.7% (7.000 out of 72 logical CPUs),0.687115,0.307s (36.7%),0.531s (63.3%),0.445s (53.2%),0.085s (10.2%),36,0s (0.0% of CPU Time),1.981s (100.0% of Wait Time),7.069s (61.4% of CPU Time),"leukocyte ""2"" ""36"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,7449971,00:29:02 22/04/2021 UTC,00:29:03 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147694,72,0.0,5.155610,0.0,0.751085,2656037257.415730,14.4% (5.181 out of 36),12.0% (8.625 out of 72),11.6,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,17.0,0.0,83.0,0.521724,2.659204,Metric Value
18,testfile2,0.581086,0.0,10.6% (7.604 out of 72 logical CPUs),0.554418,0.199s (34.3%),0.382s (65.7%),0.321s (55.2%),0.061s (10.5%),18,0s (0.0% of CPU Time),0.342s (100.0% of Wait Time),2.150s (33.9% of CPU Time),"leukocyte ""2"" ""18"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,6261577,00:29:36 22/04/2021 UTC,00:29:36 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147934,72,0.0,7.744135,0.0,0.459132,2680297028.969072,21.4% (7.718 out of 36),10.1% (7.253 out of 72),5.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.5,0.0,79.5,0.644727,3.636260,Metric Value
9,testfile2,0.679885,0.0,7.5% (5.406 out of 72 logical CPUs),0.674921,0.148s (21.8%),0.532s (78.2%),0.452s (66.5%),0.080s (11.7%),9,0s (0.0% of CPU Time),0.017s (100.0% of Wait Time),1.190s (24.7% of CPU Time),"leukocyte ""2"" ""9"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,5940155,00:30:09 22/04/2021 UTC,00:30:10 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148719,72,0.0,7.280653,0.0,0.425683,2718030770.594595,16.2% (5.840 out of 36),8.1% (5.801 out of 72),2.9,2.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.3,0.0,76.7,0.764930,4.166548,Metric Value
4,testfile2,0.979230,0.0,4.3% (3.119 out of 72 logical CPUs),0.978648,0.117s (12.0%),0.862s (88.0%),0.797s (81.4%),0.065s (6.6%),4,0s (0.0% of CPU Time),0.001s (100.0% of Wait Time),0.420s (12.1% of CPU Time),"leukocyte ""2"" ""4"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,5588537,00:30:43 22/04/2021 UTC,00:30:44 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148453,72,0.0,5.514547,0.0,0.392186,3202540241.481698,9.2% (3.299 out of 36),4.5% (3.270 out of 72),8.1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.8,0.0,72.2,0.913912,5.020777,Metric Value
36,testfile3,0.974699,0.0,12.9% (9.257 out of 72 logical CPUs),0.708098,0.309s (31.7%),0.666s (68.3%),0.544s (55.8%),0.122s (12.5%),36,0s (0.0% of CPU Time),1.735s (100.0% of Wait Time),7.599s (54.2% of CPU Time),"leukocyte ""3"" ""36"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,8835610,00:31:17 22/04/2021 UTC,00:31:18 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147933,72,0.0,7.479244,0.0,0.729064,2649329105.737273,17.5% (6.306 out of 36),14.2% (10.201 out of 72),9.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.6,0.0,79.4,0.625465,3.016674,Metric Value
18,testfile3,0.845616,0.0,11.8% (8.522 out of 72 logical CPUs),0.667927,0.211s (25.0%),0.634s (75.0%),0.452s (53.4%),0.183s (21.6%),18,0s (0.0% of CPU Time),0.287s (100.0% of Wait Time),2.880s (33.7% of CPU Time),"leukocyte ""3"" ""18"" ""../../data/leukocyte/testfile.avi""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2943,7734797,00:31:53 22/04/2021 UTC,00:31:54 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148856,72,0.0,7.556631,0.0,0.504906,2642097678.290890,21.7% (7.802 out of 36),10.7% (7.675 out of 72),3.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,17.7,0.0,82.3,0.571642,2.989388,Metric Value
