threadcount,inputinfo,Elapsed Time,Paused Time,Effective CPU Utilization,OpenMP Analysis. Collection Time,Serial Time (outside parallel regions),Parallel Region Time,Estimated Ideal Time,OpenMP Potential Gain,Total Thread Count,Thread Oversubscription,Wait Time with poor CPU Utilization,Spin and Overhead Time,Application Command Line,Operating System,Computer Name,Result Size,Collection start time,Collection stop time,Collector Type,Name,Frequency,Logical CPU Count,SP GFLOPS,DP GFLOPS,x87 GFLOPS,CPI Rate,Average CPU Frequency,Effective Physical Core Utilization,Effective Logical Core Utilization,Memory Bound,Cache Bound,DRAM Bound,NUMA: % of Remote Accesses,Vectorization,SP FLOPs,Packed,128-bit,256-bit,Scalar,DP FLOPs,x87 FLOPs,Non-FP,FP Arith/Mem Rd Instr. Ratio,FP Arith/Mem Wr Instr. Ratio,Metric Name
36,2048,1.509586,0.0,1.8% (1.316 out of 72 logical CPUs),1.680473,1.465s (97.1%),0.044s (2.9%),0.034s (2.2%),0.011s (0.7%),36,0s (0.0% of CPU Time),1.730s (100.0% of Wait Time),4.180s (65.5% of CPU Time),"lud_omp ""-n"" ""36"" ""-i"" ""../../data/lud/2048.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,5173367,00:35:57 22/04/2021 UTC,00:35:59 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147823,72,0.0,0.0,0.0,0.654278,2734529141.398276,5.2% (1.864 out of 36),2.3% (1.627 out of 72),33.3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,2048,1.338367,0.0,2.1% (1.510 out of 72 logical CPUs),1.334655,1.296s (96.8%),0.042s (3.2%),0.037s (2.7%),0.006s (0.4%),18,0s (0.0% of CPU Time),0.312s (100.0% of Wait Time),1.180s (37.0% of CPU Time),"lud_omp ""-n"" ""18"" ""-i"" ""../../data/lud/2048.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,4955658,00:36:35 22/04/2021 UTC,00:36:36 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147885,72,0.0,0.0,0.0,0.506035,2854638993.312500,5.2% (1.880 out of 36),1.9% (1.385 out of 72),19.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,2048,1.422269,0.0,2.0% (1.430 out of 72 logical CPUs),1.270079,1.347s (94.7%),0.075s (5.3%),0.070s (4.9%),0.005s (0.3%),9,0s (0.0% of CPU Time),0.020s (100.0% of Wait Time),0.350s (16.2% of CPU Time),"lud_omp ""-n"" ""9"" ""-i"" ""../../data/lud/2048.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,4885667,00:37:11 22/04/2021 UTC,00:37:13 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147770,72,2.278054,0.0,0.0,0.485660,2764506667.948052,3.7% (1.323 out of 36),1.8% (1.300 out of 72),5.9,6.7,0.0,0.0,100.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.402673,0.988983,Metric Value
4,2048,1.417508,0.0,1.6% (1.119 out of 72 logical CPUs),1.272735,1.270s (89.6%),0.147s (10.4%),0.143s (10.1%),0.004s (0.3%),4,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.210s (12.9% of CPU Time),"lud_omp ""-n"" ""4"" ""-i"" ""../../data/lud/2048.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,4888203,00:37:46 22/04/2021 UTC,00:37:48 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147764,72,2.539673,0.0,0.0,0.491756,3026324548.000000,3.5% (1.245 out of 36),1.7% (1.223 out of 72),13.1,11.8,0.0,0.0,100.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,88.2,0.445422,0.994997,Metric Value
36,256,0.358623,0.0,0.1% (0.048 out of 72 logical CPUs),0.420750,0.345s (96.3%),0.013s (3.7%),0.001s (0.4%),0.012s (3.3%),36,0s (0.0% of CPU Time),2.084s (100.0% of Wait Time),3.310s (99.4% of CPU Time),"lud_omp ""-n"" ""36"" ""-i"" ""../../data/lud/256.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,3885864,00:38:22 22/04/2021 UTC,00:38:22 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148797,72,0.0,0.0,0.0,1.309735,3010505067.533981,3.0% (1.069 out of 36),1.0% (0.713 out of 72),43.7,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,256,0.190143,0.0,0.0% (0.034 out of 72 logical CPUs),0.294698,0.186s (97.8%),0.004s (2.2%),0.001s (0.6%),0.003s (1.6%),18,0s (0.0% of CPU Time),0.359s (100.0% of Wait Time),1.060s (99.1% of CPU Time),"lud_omp ""-n"" ""18"" ""-i"" ""../../data/lud/256.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,3755438,00:38:57 22/04/2021 UTC,00:38:57 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147884,72,0.0,0.0,0.0,1.090909,4190295768.000000,3.5% (1.265 out of 36),0.9% (0.633 out of 72),40.5,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,256,0.156329,0.0,0.1% (0.058 out of 72 logical CPUs),0.174560,0.152s (97.3%),0.004s (2.7%),0.002s (1.0%),0.003s (1.8%),9,0s (0.0% of CPU Time),0.018s (100.0% of Wait Time),0.260s (96.3% of CPU Time),"lud_omp ""-n"" ""9"" ""-i"" ""../../data/lud/256.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,3748197,00:39:28 22/04/2021 UTC,00:39:29 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095149406,72,0.0,0.0,0.0,1.000000,3820566563.882353,2.8% (1.026 out of 36),0.7% (0.513 out of 72),37.2,55.3,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,256,0.129256,0.0,0.2% (0.144 out of 72 logical CPUs),0.142795,0.125s (96.4%),0.005s (3.6%),0.002s (1.8%),0.002s (1.8%),4,0s (0.0% of CPU Time),0.002s (100.0% of Wait Time),0.070s (77.8% of CPU Time),"lud_omp ""-n"" ""4"" ""-i"" ""../../data/lud/256.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,3747122,00:40:00 22/04/2021 UTC,00:40:00 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095149122,72,0.0,0.0,0.0,0.782609,3142723683.000000,1.3% (0.485 out of 36),0.5% (0.388 out of 72),,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,512,0.362717,0.0,0.4% (0.282 out of 72 logical CPUs),0.465339,0.355s (98.0%),0.007s (2.0%),0.002s (0.6%),0.005s (1.4%),36,0s (0.0% of CPU Time),1.941s (100.0% of Wait Time),3.150s (96.0% of CPU Time),"lud_omp ""-n"" ""36"" ""-i"" ""../../data/lud/512.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,3952234,00:40:33 22/04/2021 UTC,00:40:33 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095149169,72,0.0,0.0,0.0,1.142857,3352238670.400000,2.5% (0.898 out of 36),1.2% (0.898 out of 72),63.7,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,512,0.256413,0.0,0.3% (0.218 out of 72 logical CPUs),0.325458,0.250s (97.7%),0.006s (2.3%),0.002s (0.7%),0.004s (1.6%),18,0s (0.0% of CPU Time),0.336s (100.0% of Wait Time),1.030s (93.6% of CPU Time),"lud_omp ""-n"" ""18"" ""-i"" ""../../data/lud/512.dat""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2770,3880925,00:41:06 22/04/2021 UTC,00:41:06 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147476,72,0.0,0.0,0.0,0.835443,2659225642.615385,4.7% (1.681 out of 36),1.2% (0.840 out of 72),71.2,64.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
