vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,36,10,Metric Name,Metric Value
hpc,36,10,Elapsed Time,0.022050
hpc,36,10,SP GFLOPS,0.0
hpc,36,10,DP GFLOPS,0.0
hpc,36,10,x87 GFLOPS,0.0
hpc,36,10,CPI Rate,2.000000
hpc,36,10,Average CPU Frequency,4190299608.000000
hpc,36,10,Total Thread Count,1
hpc,36,10,Effective Physical Core Utilization,0.3% (0.114 out of 36)
hpc,36,10,Effective Logical Core Utilization,0.3% (0.227 out of 72)
hpc,36,10,Memory Bound,0.0
hpc,36,10,Cache Bound,0.0
hpc,36,10,DRAM Bound,0.0
hpc,36,10,NUMA: % of Remote Accesses,0.0
hpc,36,10,Vectorization,0.0
hpc,36,10,SP FLOPs,0.0
hpc,36,10,Packed,0.0
hpc,36,10,128-bit,0.0
hpc,36,10,256-bit,0.0
hpc,36,10,Scalar,0.0
hpc,36,10,DP FLOPs,0.0
hpc,36,10,Packed,0.0
hpc,36,10,128-bit,0.0
hpc,36,10,256-bit,0.0
hpc,36,10,Scalar,0.0
hpc,36,10,x87 FLOPs,0.0
hpc,36,10,Non-FP,0.0
hpc,36,10,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,36,10,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,36,10,Application Command Line,"myocyte ""100"" ""1"" ""0"" ""36"""
hpc,36,10,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,36,10,Computer Name,quartz2391
hpc,36,10,Result Size,3316662
hpc,36,10,Collection start time,22:50:43 21/04/2021 UTC
hpc,36,10,Collection stop time,22:50:43 21/04/2021 UTC
hpc,36,10,Collector Type,Driverless Perf per-process sampling
hpc,36,10,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,36,10,Frequency,2095149804
hpc,36,10,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,10,Metric Name,Metric Value
hpc,18,10,Elapsed Time,0.027244
hpc,18,10,SP GFLOPS,0.0
hpc,18,10,DP GFLOPS,0.0
hpc,18,10,x87 GFLOPS,0.0
hpc,18,10,CPI Rate,2.000000
hpc,18,10,Average CPU Frequency,4190298162.000000
hpc,18,10,Total Thread Count,1
hpc,18,10,Effective Physical Core Utilization,0.3% (0.092 out of 36)
hpc,18,10,Effective Logical Core Utilization,0.3% (0.184 out of 72)
hpc,18,10,Memory Bound,0.0
hpc,18,10,Cache Bound,0.0
hpc,18,10,DRAM Bound,0.0
