threadcount,inputinfo,Elapsed Time,Paused Time,Effective CPU Utilization,Total Thread Count,Thread Oversubscription,Wait Time with poor CPU Utilization,Spin and Overhead Time,Application Command Line,Operating System,Computer Name,Result Size,Collection start time,Collection stop time,Collector Type,Name,Frequency,Logical CPU Count,SP GFLOPS,DP GFLOPS,x87 GFLOPS,CPI Rate,Average CPU Frequency,Effective Physical Core Utilization,Effective Logical Core Utilization,Memory Bound,Cache Bound,DRAM Bound,NUMA: % of Remote Accesses,Vectorization,SP FLOPs,Packed,128-bit,256-bit,Scalar,DP FLOPs,x87 FLOPs,Non-FP,FP Arith/Mem Rd Instr. Ratio,FP Arith/Mem Wr Instr. Ratio,Metric Name
36,256,0.103269,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.040s (100.0% of CPU Time),"needle ""256"" ""10"" ""36""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3522912,00:43:46 22/04/2021 UTC,00:43:46 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095149079,72,0.0,0.0,0.0,0.875000,2933208710.600000,0.3% (0.121 out of 36),0.3% (0.243 out of 72),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,256,0.111801,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.004s (100.0% of Wait Time),0.040s (100.0% of CPU Time),"needle ""256"" ""10"" ""18""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3523986,00:44:14 22/04/2021 UTC,00:44:14 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147003,72,0.0,0.0,0.0,0.875000,2933205804.200000,0.3% (0.112 out of 36),0.3% (0.224 out of 72),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Metric Value
9,256,0.632640,0.0,0.2% (0.111 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.030s (75.0% of CPU Time),"needle ""256"" ""10"" ""9""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3528053,00:44:44 22/04/2021 UTC,00:44:44 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148668,72,0.0,0.0,0.0,1.125000,3142723002.000000,0.1% (0.020 out of 36),0.1% (0.040 out of 72),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,256,0.110816,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.040s (100.0% of CPU Time),"needle ""256"" ""10"" ""4""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3443608,00:45:10 22/04/2021 UTC,00:45:10 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147136,72,0.0,0.0,0.0,0.875000,2444338325.333333,0.4% (0.136 out of 36),0.4% (0.271 out of 72),-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,512,0.107297,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.040s (100.0% of CPU Time),"needle ""512"" ""10"" ""36""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3425547,00:45:37 22/04/2021 UTC,00:45:37 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147774,72,0.0,0.0,0.0,0.875000,2444339069.666667,0.4% (0.140 out of 36),0.4% (0.280 out of 72),-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,512,0.114734,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.040s (100.0% of CPU Time),"needle ""512"" ""10"" ""18""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3432989,00:46:04 22/04/2021 UTC,00:46:04 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147268,72,0.0,0.0,0.0,1.125000,3771265082.400000,0.3% (0.109 out of 36),0.3% (0.218 out of 72),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,512,0.100701,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.040s (100.0% of CPU Time),"needle ""512"" ""10"" ""9""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3575445,00:46:31 22/04/2021 UTC,00:46:32 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147482,72,0.0,0.0,0.0,1.000000,2793529976.000000,0.4% (0.149 out of 36),0.4% (0.299 out of 72),-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,512,0.108527,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.002s (100.0% of Wait Time),0.040s (100.0% of CPU Time),"needle ""512"" ""10"" ""4""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3451570,00:46:58 22/04/2021 UTC,00:46:58 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095149528,72,0.0,0.0,0.0,0.875000,2444341116.000000,0.4% (0.139 out of 36),0.4% (0.277 out of 72),-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,1024,0.129463,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.050s (100.0% of CPU Time),"needle ""1024"" ""10"" ""36""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3455883,00:47:25 22/04/2021 UTC,00:47:26 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147505,72,0.0,0.0,0.0,1.000000,2618934381.250000,0.4% (0.155 out of 36),0.4% (0.310 out of 72),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,1024,0.138920,0.0,0.0% (0.000 out of 72 logical CPUs),1,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.050s (100.0% of CPU Time),"needle ""1024"" ""10"" ""18""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz945,3525787,00:47:52 22/04/2021 UTC,00:47:52 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147586,72,0.0,0.0,0.0,1.100000,3292374778.000000,0.3% (0.108 out of 36),0.3% (0.216 out of 72),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
