vtuneCategory,threadcount,inputinfo,metric,value
tr,36,6464,Metric Name,Metric Value
tr,36,6464,Elapsed Time,1.329547
tr,36,6464,Paused Time,0.0
tr,36,6464,Effective CPU Utilization,0.0% (0.027 out of 72 logical CPUs)
tr,36,6464,OpenMP Analysis. Collection Time,1.329547
tr,36,6464,Serial Time (outside parallel regions),1.234s (92.8%)
tr,36,6464,Parallel Region Time,0.095s (7.2%)
tr,36,6464,Estimated Ideal Time,0.035s (2.7%)
tr,36,6464,OpenMP Potential Gain,0.060s (4.5%)
tr,36,6464,Total Thread Count,100
tr,36,6464,Thread Oversubscription,15.550s (99.6% of CPU Time)
tr,36,6464,Wait Time with poor CPU Utilization,34.468s (100.0% of Wait Time)
tr,36,6464,Spin and Overhead Time,15.590s (99.8% of CPU Time)
tr,36,6464,Application Command Line,"srad2 ""64"" ""64"" ""0"" ""63"" ""0"" ""63"" ""100"" ""0.5"" ""36"""
tr,36,6464,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,36,6464,Computer Name,quartz1453
tr,36,6464,Result Size,5263588
tr,36,6464,Collection start time,20:49:38 22/04/2021 UTC
tr,36,6464,Collection stop time,20:49:39 22/04/2021 UTC
tr,36,6464,Collector Type,User-mode sampling and tracing
tr,36,6464,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,36,6464,Frequency,2095146701
tr,36,6464,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,36,6464,Metric Name,Metric Value
hpc,36,6464,Elapsed Time,0.086829
hpc,36,6464,SP GFLOPS,0.0
hpc,36,6464,DP GFLOPS,0.0
hpc,36,6464,x87 GFLOPS,0.0
hpc,36,6464,CPI Rate,1.142857
hpc,36,6464,Average CPU Frequency,3352234334.400000
hpc,36,6464,Total Thread Count,1
